"CodeRef","Value","Label"
"CodeRef","CodeRef","Codes for the classes of codings used in the database"
"CodeRef","CropType","Codes for crops in Field sightings"
"CodeRef","DeathCause","Codes for cause of death"
"CodeRef","GapeWorm","Codes used for assessing Gapeworm infestation"
"CodeRef","MarkType","Codes for type of identification mark used"
"CodeRef","Sex","Codes for the sex of a bird"
"CodeRef","Trap","Codes for rook trapping sites"
"CodeRef","YesNo","Codes used to indicate Boolean True/False"
"CropType","CUL","Cultivation in progress"
"CropType","CUT","Cut grass"
"CropType","DRI","Drills"
"CropType","FEE","Feeds"
"CropType","FEN","Fence"
"CropType","GRA","Grass"
"CropType","MUD","Mud flat"
"CropType","OAT","Oat stooks"
"CropType","PIG","Pigs"
"CropType","PLO","Plough"
"CropType","POT","Potatoes"
"CropType","ROA","Roadside"
"CropType","SH","Shore"
"CropType","SOW","Sown"
"CropType","STU","Stubble"
"CropType","TIL","Tilling"
"CropType","TRE","Tree"
"CropType","TUR","Turnips"
"CropType","WINT","Winter wheat"
"CropType","WIR","Wires"
"DeathCause","ACC","Accidental death during trapping or handling"
"DeathCause","DIS","Disease"
"DeathCause","FLEDG","Fledgling mortality"
"DeathCause","INJ","Injury"
"DeathCause","KILL","Killed by humans (not shot)"
"DeathCause","NAT","Unknown or Natural causes (unspecified)"
"DeathCause","NEST","Nestling mortality"
"DeathCause","ROAD","Road kill"
"DeathCause","SHOT","Shot"
"DeathCause","STAR","Starvation"
"DeathCause","TRAP","Found in Trap"
"GapeWorm","H","Heavy"
"GapeWorm","L","Light"
"GapeWorm","M","Medium"
"MarkType","COL","Colour leg rings"
"MarkType","MET","Metal leg ring"
"MarkType","TAGC","Colour wing tag"
"MarkType","TAGL","Letter wing tag"
"Sex","F","Female"
"Sex","M","Male"
"Trap","1","South Artrochie rookery"
"Trap","10","Pitlurg"
"Trap","11","Rubbish Dump trap"
"Trap","12","Straduff Pig Fields"
"Trap","13","Ythan Bank"
"Trap","14","Station Rookery"
"Trap","15","School Rookery"
"Trap","2","Waterside Farm"
"Trap","3","Smiddyhill Farm"
"Trap","4","Duck trap on estuary"
"Trap","5","Brownhill"
"Trap","6","Culterty Pond trap"
"Trap","7","Forvie Bank Pigs trap"
"Trap","8","Green Hill trap"
"Trap","9","Macharmuir"
"YesNo","0","No"
"YesNo","-1","Yes"
