"RowID","StudyArea","CountDate","AgeSex","Count"
135,"A","09/04/1982, 00.00.00","AF",1
136,"A","09/04/1982, 00.00.00","JM",2
137,"A","09/04/1982, 00.00.00","BB",1
138,"A","28/04/1982, 00.00.00","AM",3
139,"A","28/04/1982, 00.00.00","JM",1
140,"A","28/04/1982, 00.00.00","BB",4
141,"A","22/09/1982, 00.00.00","AM",3
142,"A","22/09/1982, 00.00.00","AF",1
143,"A","22/09/1982, 00.00.00","JM",1
144,"A","22/09/1982, 00.00.00","JF",1
145,"A","22/09/1982, 00.00.00","BB",15
146,"A","22/09/1982, 00.00.00",,3
147,"A","05/10/1982, 00.00.00","AM",1
148,"A","05/10/1982, 00.00.00","AF",1
149,"A","05/10/1982, 00.00.00","JF",1
150,"A","05/10/1982, 00.00.00","BB",11
151,"A","05/10/1982, 00.00.00",,6
152,"A","15/10/1982, 00.00.00","AM",4
153,"A","15/10/1982, 00.00.00","AF",1
154,"A","15/10/1982, 00.00.00","JF",1
155,"A","15/10/1982, 00.00.00","BB",9
156,"A","15/10/1982, 00.00.00",,1
157,"A","29/10/1982, 00.00.00","AM",3
158,"A","29/10/1982, 00.00.00","AF",2
159,"A","29/10/1982, 00.00.00","JM",2
160,"A","29/10/1982, 00.00.00","JF",1
161,"A","29/10/1982, 00.00.00","BB",15
162,"A","29/10/1982, 00.00.00",,1
163,"A","09/11/1982, 00.00.00","AM",3
164,"A","09/11/1982, 00.00.00","AF",1
165,"A","09/11/1982, 00.00.00","JF",1
166,"A","09/11/1982, 00.00.00","BB",12
167,"A","09/11/1982, 00.00.00",,1
168,"A","16/11/1982, 00.00.00","AM",2
169,"A","16/11/1982, 00.00.00","AF",2
170,"A","16/11/1982, 00.00.00","BB",5
171,"A","26/11/1982, 00.00.00","AM",1
172,"A","26/11/1982, 00.00.00","AF",1
173,"A","26/11/1982, 00.00.00","JM",2
174,"A","26/11/1982, 00.00.00","BB",15
175,"A","26/11/1982, 00.00.00",,1
176,"A","06/12/1982, 00.00.00","AM",3
177,"A","06/12/1982, 00.00.00","AF",3
178,"A","06/12/1982, 00.00.00","BB",12
179,"A","06/12/1982, 00.00.00",,1
180,"A","08/01/1983, 00.00.00","AM",2
181,"A","08/01/1983, 00.00.00","AF",3
182,"A","08/01/1983, 00.00.00","JM",1
183,"A","08/01/1983, 00.00.00","BB",9
184,"A","21/01/1983, 00.00.00","AM",2
185,"A","21/01/1983, 00.00.00","AF",4
186,"A","21/01/1983, 00.00.00","BB",6
187,"A","25/01/1983, 00.00.00","AM",2
188,"A","25/01/1983, 00.00.00","AF",3
189,"A","25/01/1983, 00.00.00","JM",1
190,"A","25/01/1983, 00.00.00","BB",8
191,"A","25/01/1983, 00.00.00",,1
192,"A","04/02/1983, 00.00.00","AF",3
193,"A","04/02/1983, 00.00.00","JM",1
194,"A","04/02/1983, 00.00.00","BB",8
195,"A","04/02/1983, 00.00.00",,1
196,"A","10/02/1983, 00.00.00","AM",3
197,"A","10/02/1983, 00.00.00","AF",1
198,"A","10/02/1983, 00.00.00","JM",1
199,"A","10/02/1983, 00.00.00","BB",7
200,"A","01/03/1983, 00.00.00","AM",1
201,"A","01/03/1983, 00.00.00","AF",1
202,"A","01/03/1983, 00.00.00","BB",7
203,"A","01/03/1983, 00.00.00",,2
204,"A","08/03/1983, 00.00.00","AM",4
205,"A","08/03/1983, 00.00.00","AF",3
206,"A","08/03/1983, 00.00.00","BB",5
207,"A","08/03/1983, 00.00.00",,3
208,"A","16/03/1983, 00.00.00","AM",2
209,"A","16/03/1983, 00.00.00","AF",2
210,"A","16/03/1983, 00.00.00","BB",6
211,"A","16/03/1983, 00.00.00",,1
212,"A","30/03/1983, 00.00.00","AM",3
213,"A","30/03/1983, 00.00.00","JM",1
214,"A","08/04/1983, 00.00.00","AM",2
215,"A","08/04/1983, 00.00.00","AF",2
216,"A","08/04/1983, 00.00.00","BB",1
217,"A","14/04/1983, 00.00.00","AM",1
218,"A","14/04/1983, 00.00.00","AF",6
219,"A","14/04/1983, 00.00.00","JM",1
220,"A","29/04/1983, 00.00.00","AM",2
221,"A","03/10/1983, 00.00.00","AF",4
222,"A","03/10/1983, 00.00.00","BB",3
223,"A","03/10/1983, 00.00.00","JX",3
224,"A","03/10/1983, 00.00.00",,2
225,"A","10/10/1983, 00.00.00","AF",3
226,"A","10/10/1983, 00.00.00","BB",3
227,"A","10/10/1983, 00.00.00","JX",1
228,"A","10/10/1983, 00.00.00",,3
229,"A","21/10/1983, 00.00.00","AM",1
230,"A","21/10/1983, 00.00.00","AF",1
231,"A","21/10/1983, 00.00.00","BB",5
