"SightingID","BehavModifier","BehavSpp"
1798,"4","1"
1799,"2","1"
1800,"2","1"
1801,"2","1"
1802,"1","1"
1803,"4","1"
1804,"2","1"
1805,"1","1"
1806,"1","1"
1808,"1","1"
1809,"1","1"
1810,"1","7"
1812,"1","1"
1813,"2","1"
1814,"1","1"
1815,"2","1"
1816,"2","1"
1817,"1","1"
1818,"2","1"
1819,"2","6"
1824,"4","1"
1834,"4","1"
1835,"2","1"
1836,"1","1"
1837,"4","1"
1838,"4","1"
1839,"2","1"
1840,"4","1"
1841,"2","1"
1842,"2","1"
1843,"2","1"
1844,"2","1"
1845,"4","1"
1850,"4","1"
1851,"2","1"
1859,"4","1"
1860,"1","7"
1862,"1","7"
1867,"3","7"
1871,"1","1"
1872,"4","1"
1873,"4","1"
1875,"3","7"
1878,"1","7"
1901,"3","7"
1912,"4","1"
1925,"1","6"
1931,"3","6"
1936,"9","7"
1940,"1","6"
1944,"3","7"
1946,"2","1"
1955,"1","1"
1981,"3","7"
1992,"3","7"
1994,"4","1"
1997,"3","7"
2021,"3","7"
2023,"13","14"
2030,"3","7"
2037,"1","7"
2040,"3","7"
2042,"3","7"
2046,"3","7"
2050,"9","7"
2055,"13","12"
2062,"3","7"
2067,"1","7"
2077,"3","7"
2081,"2","6"
2086,"1","6"
2089,"1","7"
2096,"3","7"
2098,"3","7"
2104,"1","6"
2109,"12","11"
2114,"2","7"
2119,"1","7"
2127,"14","19"
2132,"9","9"
2137,"3","7"
2140,"1","7"
2143,"1","7"
2146,"3","7"
2151,"3","7"
2153,"1","7"
2156,"3","7"
2158,"1","7"
2163,"1","7"
2164,"3","7"
2166,"3","7"
2168,"1","7"
2174,"2","1"
2175,"4","1"
2176,"2","2"
2184,"1","1"
2186,"1","6"
2188,"2","1"
2190,"1","7"
2194,"2","1"
2195,"2","1"
2197,"2","1"
2198,"4","1"
2201,"1","7"
2204,"2","1"
2205,"4","1"
2206,"4","1"
2207,"4","1"
2214,"1","1"
2215,"4","1"
2216,"1","1"
2217,"1","1"
2221,"1","7"
2224,"2","2"
2241,"2","1"
2243,"3","7"
2244,"4","1"
2246,"4","1"
2247,"1","1"
2248,"2","1"
2249,"4","1"
2250,"2","1"
2251,"1","1"
2253,"2","1"
2254,"1","1"
2255,"1","1"
2256,"1","4"
2258,"1","1"
2259,"3","7"
2263,"2","1"
2264,"4","1"
2265,"2","1"
2267,"1","1"
2268,"1","7"
2271,"4","1"
2272,"3","7"
2274,"9","9"
2285,"1","6"
2286,"1","1"
2287,"4","1"
2290,"1","1"
2291,"4","1"
2295,"2","1"
2297,"2","2"
2300,"2","1"
2301,"2","1"
2307,"9","9"
2311,"1","1"
2312,"4","1"
2313,"4","1"
2320,"9","9"
2322,"2","1"
2324,"4","1"
2325,"2","1"
2326,"4","1"
2350,"1","6"
2354,"13","12"
2360,"3","6"
2362,"3","6"
2365,"3","7"
2368,"4","1"
2369,"4","1"
2370,"2","1"
2371,"1","7"
2377,"1","7"
2380,"3","7"
2382,"1","6"
2383,"3","9"
2385,"4","1"
2386,"4","1"
2395,"4","1"
2396,"1","1"
2397,"2","1"
2398,"4","1"
2399,"2","1"
2400,"1","1"
2403,"13","12"
2406,"1","6"
2409,"2","1"
2410,"2","1"
2412,"2","5"
2417,"3","7"
2419,"2","1"
2420,"1","1"
2421,"4","1"
2422,"1","1"
2425,"3","7"
2430,"3","6"
2432,"1","6"
2437,"4","1"
2440,"1","1"
2442,"2","1"
2443,"13","12"
2446,"2","1"
2448,"4","1"
2449,"1","1"
2450,"1","1"
2451,"1","1"
2453,"3","7"
2455,"3","9"
2457,"13","12"
2459,"1","6"
2462,"4","1"
2463,"1","1"
2469,"3","7"
2484,"4","1"
2485,"1","7"
2493,"13","12"
2496,"4","1"
2497,"4","1"
2500,"4","1"
2509,"1","6"
2514,"4","1"
2515,"2","1"
2517,"2","1"
2520,"3","6"
2521,"1","6"
2524,"4","1"
2526,"3","6"
2527,"3","6"
2528,"1","6"
2529,"3","6"
2530,"1","6"
2531,"3","6"
2539,"2","1"
2544,"4","1"
2545,"1","7"
2552,"9","9"
2553,"9","9"
2558,"2","5"
2563,"2","1"
2565,"2","1"
2566,"9","9"
2567,"1","6"
2574,"1","6"
2576,"3","6"
2581,"2","5"
2587,"9","9"
2590,"1","7"
2591,"1","7"
2592,"13","13"
2596,"2","5"
2597,"0","5"
2601,"1","6"
2603,"13","13"
2607,"4","1"
2608,"4","1"
2609,"4","1"
2619,"2","1"
2620,"4","1"
2621,"4","1"
2625,"9","9"
2628,"4","1"
2629,"4","1"
2643,"1","7"
2645,"4","7"
2648,"4","7"
2650,"13","13"
2651,"14","16"
2654,"13","13"
2659,"1","6"
2663,"15","19"
2690,"4","1"
2691,"13","14"
2693,"2","5"
2701,"13","13"
2703,"3","3"
2704,"13","13"
2705,"3","3"
2713,"3","7"
2714,"3","7"
2718,"4","1"
2720,"2","1"
2721,"4","1"
2728,"3","7"
2740,"3","7"
2751,"3","7"
2756,"3","7"
2762,"3","7"
2767,"3","7"
2779,"2","7"
2787,"3","7"
2790,"3","7"
2795,"3","7"
2800,"3","7"
2802,"13","14"
2808,"1","7"
2814,"1","7"
2815,"1","7"
2820,"1","7"
2825,"1","7"
2827,"1","7"
2832,"2","7"
2835,"1","1"
2839,"1","6"
2853,"3","7"
2857,"9","7"
2861,"12","16"
2878,"2","7"
2886,"1","7"
2887,"1","4"
2890,"1","9"
2893,"3","7"
2896,"3","7"
2907,"3","7"
2915,"2","7"
2922,"13","13"
2926,"9","9"
2934,"9","9"
2938,"12","11"
2948,"3","7"
2952,"9","9"
2959,"2","6"
2967,"1","6"
2976,"4","9"
2977,"1","1"
2978,"4","1"
2991,"13","13"
2996,"1","6"
2998,"1","7"
3000,"1","7"
3005,"1","7"
3022,"9","9"
3028,"3","7"
3032,"3","7"
3044,"1","6"
3049,"2","7"
3056,"9","9"
3062,"13","14"
3073,"1","7"
3082,"1","6"
3083,"2","6"
3086,"1","1"
3099,"4","1"
3103,"1","1"
3104,"4","1"
3105,"4","1"
3106,"4","1"
3107,"4","1"
3108,"2","1"
3111,"1","1"
3118,"15","19"
3120,"4","1"
3125,"3","7"
3127,"9","9"
3135,"1","6"
3137,"4","1"
3142,"2","6"
3154,"2","1"
3161,"4","1"
3162,"4","1"
3172,"4","1"
3174,"2","1"
3177,"4","1"
3179,"15","19"
3182,"4","1"
3184,"4","1"
3192,"3","6"
3195,"1","1"
3196,"2","1"
3198,"1","1"
3199,"2","1"
3200,"2","1"
3201,"1","1"
3202,"2","1"
3204,"2","1"
3205,"4","1"
3211,"13","13"
3220,"3","4"
3223,"3","6"
3224,"6","9"
3228,"9","9"
3236,"1","6"
3243,"1","6"
3267,"11","11"
3276,"2","6"
3277,"0","6"
3284,"1","4"
3299,"13","13"
3314,"2","1"
3315,"13","13"
3339,"4","1"
3340,"2","1"
3341,"4","1"
3347,"13","13"
3355,"1","7"
3414,"2","5"
3426,"2","1"
3447,"15","19"
3479,"4","7"
3486,"9","9"
3490,"1","6"
3506,"4","1"
3507,"4","1"
3508,"4","1"
3509,"4","1"
3534,"3","6"
3535,"3","6"
3559,"3","7"
3587,"1","7"
3600,"0","7"
3605,"3","7"
3608,"4","1"
3618,"1","7"
3620,"1","5"
3621,"2","5"
3622,"0","5"
3624,"1","5"
3625,"3","5"
3627,"2","5"
3628,"5","5"
3629,"0","7"
3632,"6","5"
3638,"1","5"
3670,"14","19"
3696,"2","1"
3715,"4","1"
3718,"4","1"
3720,"4","1"
3757,"2","5"
3767,"2","5"
3779,"13","11"
3782,"0","1"
3797,"4","1"
3798,"2","1"
3799,"2","1"
3802,"4","1"
3803,"1","1"
3804,"2","2"
3805,"2","2"
3806,"1","1"
3807,"1","1"
3808,"1","1"
3823,"0","1"
3827,"13","12"
3834,"4","1"
3835,"4","1"
3838,"2","1"
3839,"2","1"
3840,"4","1"
3841,"4","1"
3846,"12","11"
3852,"0","6"
3855,"9","9"
3857,"9","9"
3859,"9","9"
3860,"9","9"
3863,"2","1"
3864,"2","1"
3865,"2","1"
3870,"4","1"
3871,"4","1"
3874,"2","2"
3875,"1","1"
3886,"4","1"
3893,"4","1"
3894,"1","1"
3895,"4","1"
3898,"2","2"
3899,"1","1"
3900,"2","1"
3903,"4","1"
3905,"2","1"
3908,"1","1"
3912,"13","12"
3914,"1","1"
3915,"2","1"
3916,"4","1"
3917,"2","2"
3919,"2","2"
3922,"4","1"
3930,"1","1"
3932,"4","1"
3933,"4","1"
3934,"1","1"
3935,"13","13"
3939,"4","1"
3941,"4","1"
3946,"3","7"
3950,"2","1"
3951,"4","1"
3953,"1","1"
3955,"1","1"
3956,"1","1"
3957,"4","1"
3958,"4","1"
3959,"1","1"
3963,"4","1"
3964,"2","1"
3967,"2","1"
3973,"2","1"
3974,"1","1"
3975,"1","1"
3976,"2","1"
3977,"1","1"
3982,"0","4"
3987,"4","1"
3989,"2","2"
3990,"4","1"
3991,"1","1"
3992,"2","2"
3993,"2","2"
3999,"4","1"
4000,"4","1"
4001,"4","1"
4002,"2","1"
4003,"14","19"
4004,"14","19"
4010,"14","19"
4015,"2","2"
4017,"4","1"
4018,"4","1"
4019,"4","1"
4020,"4","1"
4022,"1","1"
4027,"4","1"
4028,"1","1"
4030,"2","1"
4031,"4","1"
4033,"2","2"
4034,"2","2"
4035,"2","3"
4037,"2","1"
4062,"4","1"
4065,"1","7"
4069,"2","1"
4071,"2","7"
4072,"0","7"
4091,"1","6"
4092,"1","6"
4097,"1","6"
4100,"15","19"
4101,"15","19"
4110,"1","1"
4111,"4","1"
4112,"4","1"
4113,"2","1"
4114,"1","7"
4115,"1","6"
4127,"1","7"
4145,"1","7"
4151,"1","1"
4152,"1","1"
4155,"4","1"
4156,"4","1"
4158,"2","1"
4167,"1","6"
4169,"1","7"
4172,"1","6"
4181,"1","6"
4183,"15","19"
4189,"1","9"
4193,"3","7"
4197,"3","6"
4198,"3","7"
4200,"3","7"
4211,"3","4"
4218,"1","6"
4222,"2","4"
4223,"0","9"
4230,"1","7"
4239,"1","7"
4247,"1","7"
4255,"2","4"
4256,"0","4"
4266,"4","7"
4269,"3","7"
4275,"1","7"
4277,"3","7"
4278,"3","7"
4284,"1","7"
4286,"2","7"
4287,"0","7"
4296,"1","7"
4300,"1","7"
4303,"1","7"
4318,"1","4"
4319,"3","4"
4323,"1","4"
4327,"3","7"
4329,"1","4"
4335,"2","5"
4336,"0","5"
4341,"15","19"
4350,"1","7"
4354,"1","7"
4355,"1","7"
4358,"1","7"
4364,"3","6"
4370,"1","6"
4377,"2","4"
4378,"0","4"
4381,"2","5"
4402,"0","9"
4406,"2","7"
4407,"0","7"
4422,"2","4"
4423,"0","4"
4464,"2","4"
4465,"0","9"
4471,"3","7"
4472,"3","7"
4475,"9","9"
4480,"1","6"
4492,"3","6"
4493,"1","6"
4494,"1","6"
4495,"2","6"
4496,"0","6"
4501,"2","6"
4502,"0","6"
4503,"0","6"
4510,"2","6"
4511,"0","6"
4518,"3","7"
4519,"1","6"
4523,"3","7"
4533,"2","7"
4534,"0","7"
4538,"3","7"
4541,"2","7"
4542,"0","9"
4543,"2","7"
4548,"3","6"
4550,"1","6"
4557,"2","6"
4558,"0","6"
4567,"2","7"
4568,"0","7"
4573,"1","7"
4576,"1","7"
4579,"3","7"
4599,"3","7"
4604,"3","7"
4608,"2","7"
4624,"1","7"
4637,"1","6"
4668,"1","7"
4674,"2","6"
4675,"0","6"
4684,"1","6"
4686,"9","9"
4687,"9","9"
4689,"1","6"
4693,"11","11"
4700,"1","6"
4701,"1","6"
4703,"2","4"
4704,"0","9"
4712,"3","7"
4714,"3","6"
4716,"3","7"
4718,"3","7"
4719,"1","7"
4732,"3","6"
4733,"2","6"
4734,"0","6"
4742,"0","1"
4747,"0","5"
4754,"1","4"
4755,"11","11"
4756,"11","11"
4758,"1","4"
4759,"11","11"
4760,"11","11"
4790,"4","1"
4791,"4","9"
4793,"3","7"
4798,"11","11"
4804,"4","1"
4805,"4","1"
4806,"4","1"
4807,"4","1"
4808,"4","1"
4810,"15","0"
4826,"13","11"
4862,"4","1"
4864,"4","1"
4866,"1","6"
4868,"4","6"
4871,"1","6"
4878,"4","1"
4893,"4","1"
4899,"2","6"
4900,"5","6"
4902,"2","6"
4903,"5","6"
4907,"1","1"
4908,"1","6"
4920,"1","7"
4931,"0","5"
4939,"1","7"
4944,"2","4"
4945,"0","4"
4947,"1","7"
4949,"1","4"
4959,"4","7"
4962,"1","1"
4964,"4","1"
4966,"2","1"
4969,"4","1"
4970,"4","1"
4971,"1","1"
4975,"1","1"
4979,"1","1"
4980,"2","1"
4981,"2","1"
4983,"4","1"
4984,"4","1"
4985,"4","1"
4986,"12","11"
4989,"4","1"
4990,"4","1"
4991,"4","1"
4992,"4","1"
4993,"4","1"
4994,"4","1"
4995,"4","1"
4996,"4","1"
4997,"2","1"
4998,"4","1"
5000,"4","1"
5001,"4","1"
5002,"4","1"
5003,"4","1"
5004,"1","1"
5006,"4","1"
5007,"4","1"
5008,"4","1"
5009,"4","1"
5010,"4","1"
5011,"1","1"
5012,"2","1"
5013,"1","1"
5014,"2","1"
5015,"4","1"
5016,"1","1"
5017,"1","1"
5018,"4","1"
5020,"4","1"
5021,"2","1"
5022,"1","1"
5023,"4","1"
5024,"4","1"
5025,"4","1"
5026,"2","1"
5027,"1","1"
5028,"4","1"
5029,"1","1"
5030,"1","1"
5031,"13","14"
5033,"2","1"
5034,"4","1"
5051,"2","5"
5052,"0","5"
5059,"4","1"
5060,"2","2"
5061,"2","1"
5069,"13","13"
5088,"4","6"
5106,"2","1"
5107,"4","1"
5108,"1","1"
5110,"4","1"
5121,"3","7"
5123,"4","1"
5146,"4","1"
5174,"4","6"
5176,"1","1"
5195,"4","1"
5196,"4","1"
5197,"2","1"
5202,"1","4"
5204,"2","1"
5206,"4","1"
5208,"1","7"
5213,"4","1"
5214,"4","1"
5215,"4","1"
5216,"4","1"
5217,"4","1"
5218,"4","1"
5224,"1","4"
5252,"2","1"
5253,"1","7"
5283,"1","4"
5285,"2","1"
5286,"1","1"
5379,"11","11"
5380,"11","11"
5381,"11","11"
5382,"11","11"
5384,"3","7"
5387,"4","4"
5402,"0","4"
5403,"0","1"
5414,"1","7"
5437,"13","12"
5443,"7","7"
5445,"3","7"
5509,"1","5"
5514,"3","9"
5519,"3","7"
5524,"3","7"
5529,"1","6"
5533,"3","7"
5536,"13","11"
5537,"13","11"
5542,"13","14"
5544,"12","11"
5548,"4","9"
5549,"4","1"
5554,"4","1"
5555,"4","1"
5556,"4","1"
5557,"4","1"
5558,"4","1"
5559,"4","1"
5562,"12","11"
5565,"13","11"
5573,"3","7"
5575,"4","1"
5576,"4","1"
5587,"13","11"
5588,"12","11"
5589,"4","1"
5599,"4","6"
5600,"1","7"
5605,"1","7"
5671,"4","1"
5687,"4","1"
5699,"2","1"
5700,"0","1"
5714,"1","6"
5742,"2","1"
5755,"4","6"
5794,"13","11"
5795,"12","11"
5811,"0","7"
5812,"0","7"
5816,"1","7"
5845,"1","1"
5869,"14","0"
5874,"1","7"
5877,"1","7"
5878,"1","7"
5908,"3","7"
5915,"0","7"
5917,"2","6"
5922,"1","6"
5936,"2","6"
5937,"0","6"
5957,"0","4"
5958,"0","4"
5964,"4","1"
5995,"1","6"
6001,"12","11"
6002,"13","11"
6011,"12","11"
6012,"13","11"
6020,"13","11"
6021,"12","11"
6038,"1","1"
6048,"14","11"
6074,"0","1"
6077,"15","0"
6078,"15","0"
6082,"1","1"
6106,"1","6"
6110,"12","11"
6111,"13","11"
6113,"4","1"
6121,"14","0"
6122,"14","0"
6140,"14","0"
6141,"14","0"
6151,"14","0"
6172,"14","0"
6173,"14","0"
6198,"1","6"
6204,"15","0"
6214,"14","0"
6239,"0","6"
6240,"0","6"
6241,"0","6"
6260,"6","0"
6269,"2","6"
6270,"0","6"
6271,"2","5"
6272,"0","5"
6277,"1","6"
6285,"11","11"
6286,"11","11"
6290,"2","4"
6297,"13","11"
6298,"13","11"
6299,"12","11"
6301,"14","0"
6312,"1","6"
6313,"13","11"
6314,"13","11"
6315,"12","11"
6333,"0","4"
6353,"1","6"
6378,"0","4"
6379,"0","4"
6388,"2","6"
6451,"13","11"
6454,"13","11"
6455,"12","11"
6457,"12","11"
6459,"1","6"
6466,"13","12"
6475,"1","6"
6476,"11","16"
6477,"11","11"
6479,"11","11"
6490,"2","6"
6491,"5","6"
6493,"1","6"
6494,"2","5"
6520,"13","11"
6522,"12","11"
6523,"12","11"
6524,"13","11"
6528,"0","1"
6568,"0","7"
6583,"3","7"
6584,"1","7"
6592,"1","6"
6639,"0","1"
6640,"11","11"
6642,"11","11"
6651,"3","7"
6652,"1","7"
6670,"13","13"
6672,"12","11"
6673,"1","1"
6675,"13","11"
6680,"2","1"
6681,"13","11"
6682,"13","11"
6683,"12","11"
6694,"1","6"
6826,"2","6"
6827,"0","6"
6833,"0","7"
6834,"0","7"
6843,"13","13"
6851,"12","16"
6852,"12","16"
6854,"1","7"
6873,"13","13"
6878,"13","13"
6881,"2","6"
6882,"0","6"
6900,"1","6"
6901,"2","6"
6902,"5","6"
6926,"3","7"
6968,"12","11"
6969,"12","11"
6970,"12","11"
6971,"13","11"
7010,"15","0"
7046,"13","13"
7089,"1","6"
7093,"0","7"
7100,"0","1"
7132,"1","6"
7151,"1","7"
7222,"2","6"
7235,"0","7"
7236,"0","7"
7286,"1","7"
7287,"1","6"
7335,"1","7"
7347,"0","7"
7348,"4","7"
7351,"15","0"
7352,"2","5"
7353,"5","5"
7358,"2","1"
7368,"2","5"
7369,"0","5"
7370,"5","5"
7372,"1","6"
7373,"1","7"
7375,"14","0"
7376,"14","0"
7377,"2","2"
7379,"1","6"
7380,"13","13"
7383,"14","0"
7384,"14","0"
7385,"2","6"
7392,"6","7"
7405,"14","0"
7429,"2","5"
7455,"13","11"
7456,"13","11"
7457,"12","11"
7475,"4","1"
7476,"3","7"
7484,"14","0"
7498,"13","11"
7499,"12","11"
7512,"2","1"
7526,"12","11"
7527,"13","11"
7605,"1","6"
7609,"0","6"
7641,"13","11"
7642,"13","11"
7643,"12","11"
7644,"12","11"
7648,"1","6"
7649,"12","11"
7651,"11","11"
7652,"13","11"
7654,"13","11"
7655,"12","11"
7679,"12","11"
7683,"15","0"
7684,"4","1"
7689,"2","6"
7711,"13","13"
7712,"6","0"
7721,"15","0"
7722,"15","0"
7733,"0","6"
7734,"0","6"
7755,"0","4"
7773,"13","11"
7774,"12","11"
7789,"2","6"
7790,"0","6"
7800,"11","11"
7801,"1","1"
7802,"11","11"
7812,"2","6"
7813,"0","6"
7821,"13","11"
7824,"1","7"
7825,"1","7"
7828,"1","6"
7831,"1","7"
7864,"11","11"
7867,"11","11"
7875,"1","7"
7878,"11","11"
7910,"0","4"
7911,"0","4"
7945,"0","7"
7949,"1","7"
7961,"0","4"
7971,"2","5"
7972,"0","5"
7974,"2","5"
7975,"0","5"
7979,"2","6"
7980,"0","6"
7982,"2","6"
7983,"0","6"
8028,"2","5"
8029,"6","5"
8037,"2","1"
8038,"1","1"
8040,"0","1"
8050,"13","13"
8055,"13","11"
8057,"1","1"
8058,"12","11"
8059,"1","1"
8061,"12","11"
8062,"1","1"
8063,"13","11"
8065,"1","1"
8066,"13","11"
8079,"1","6"
8094,"13","11"
8095,"12","11"
8096,"12","11"
8103,"3","3"
8104,"2","1"
8133,"2","1"
8136,"4","1"
8146,"1","7"
8151,"13","12"
8169,"4","7"
8199,"7","1"
8208,"4","1"
8213,"4","1"
8219,"1","6"
8240,"1","7"
8248,"4","1"
8253,"1","6"
8257,"4","1"
8260,"2","1"
8275,"13","13"
8279,"1","7"
8312,"3","7"
8324,"14","0"
8325,"14","0"
8337,"1","6"
8341,"15","0"
8347,"2","6"
8381,"11","0"
8382,"11","0"
8404,"14","0"
8418,"14","0"
8419,"14","0"
8441,"1","6"
8444,"4","6"
8447,"3","7"
8448,"3","7"
8450,"0","6"
8454,"0","4"
8455,"0","4"
8464,"4","6"
8526,"13","13"
8545,"14","0"
8546,"12","12"
8558,"4","1"
8572,"4","1"
8574,"4","1"
8608,"3","1"
8609,"2","1"
8610,"0","7"
8612,"2","7"
8613,"0","7"
8682,"11","18"
8698,"11","18"
8715,"11","18"
8733,"11","18"
8777,"11","12"
8782,"15","11"
8796,"14","11"
8799,"15","11"
8804,"15","11"
8819,"14","11"
8820,"14","11"
8855,"14","11"
8876,"14","11"
8877,"14","11"
8879,"14","11"
8889,"14","11"
8892,"15","11"
8899,"14","11"
8940,"14","11"
8955,"14","11"
8961,"14","11"
8962,"15","11"
8967,"14","11"
8968,"14","11"
8971,"14","11"
8976,"14","11"
8983,"14","11"
8987,"14","11"
8989,"14","11"
9040,"14","11"
9047,"15","11"
9057,"14","11"
9062,"15","11"
9063,"11","12"
9065,"15","11"
9066,"15","11"
9067,"15","11"
9068,"15","11"
9071,"15","11"
9072,"15","11"
9075,"11","18"
9093,"15","11"
9103,"14","11"
9104,"14","11"
9110,"15","11"
9130,"15","11"
9131,"14","11"
9135,"15","11"
9163,"14","11"
9169,"14","11"
9172,"14","11"
9174,"14","11"
9189,"15","11"
9221,"11","18"
9222,"14","11"
9252,"11","12"
9321,"15","11"
9325,"14","11"
9347,"15","11"
9355,"15","11"
9357,"15","11"
9478,"15","11"
9491,"15","11"
9508,"11","18"
