"CarcassID","StudyArea","Site","CatchYear","CatchMonth","Species","Sex","Age","Weight","BodyLength","TailLen","HindFootLen","BreedCond","Pregnant","Nipples","AnoGenDist","TestLen","TestWidth","TestWt","OvaryOviductWt","Nembryos","DryWt","LeanDryWt"
53,"A",17,1986,10,"3","F","A",20,119,29,167,"4",0,"1",6.8,,,,0.035,,5.48,4.7
54,"A",17,1986,10,"3","M","A",19.2,118,29,162,"1",0,,7.1,3,1.6,0.015,,,5.38,4.53
55,"A",17,1986,10,"3","M","A",19.2,117,29,175,"1",0,,11.6,4.1,2.4,0.027,,,5.68,4.44
56,"A",17,1986,10,"3","M","A",18.7,117,27,162,"1",0,,9.6,2.6,1.2,0.01,,,5.7,4.41
57,"A",17,1986,10,"3","F","A",20.6,128,30,160,"4",0,"2",7.3,,,,0.08,,5.62,4.92
58,"A",17,1986,10,"3","M","A",17.5,116,27,153,"1",0,,7.8,2.9,1.7,0.014,,,4.77,4.17
59,"A",17,1986,10,"3","M","A",19.9,119,28,166,"1",0,,9.7,2.6,1.7,0.012,,,5.21,4.28
60,"A",17,1986,10,"3","F","A",17.7,111,25,129,"3",0,"1",5.3,,,,,,4.82,4.25
61,"A",17,1986,10,"3","M","A",18.9,122,27,167,"1",0,,8.5,3.1,2,0.014,,,6.04,4.66
62,"A",17,1986,10,"3","M","A",20.5,116,28,155,"1",0,,9.5,3.1,2,0.012,,,5.77,4.66
63,"A",17,1986,10,"4","F","A",11.6,112,37,154,"3",0,"1",5.5,,,,,,3.15,2.85
64,"A",17,1986,10,"3","F","A",17.2,122,27,161,"3",0,"1",6.2,,,,,,4.61,4.16
65,"A",17,1986,10,"3","M","A",17.8,112,26,166,"1",0,,8.8,3.1,1.2,0.013,,,5,4.31
66,"A",17,1986,10,"3","M","A",18.7,119,26,160,"1",0,,9.5,3.5,1.7,0.017,,,5.77,4.38
67,"A",17,1986,10,"3","F","A",16.8,113,26,164,"3",0,"1",6.1,,,,,,4.49,3.9
68,"A",17,1986,10,"3","M","A",18.2,122,28,161,"1",0,,7.9,2.8,1.4,0.015,,,4.82,4.32
69,"A",17,1986,10,"4","M","A",17.2,124,40,150,"1",0,,9.5,4.5,2.2,0.029,,,4.71,4.03
70,"A",17,1986,10,"3","F","J",7.2,82,17,137,"3",0,"1",4.8,,,,,,1.85,1.66
71,"A",17,1986,10,"1","M","A",17.7,170,81,128,"1",0,,16.3,8.1,3,0.073,,,5.31,4.4
72,"A",17,1986,10,"1","M","A",19.4,178,85,222,"1",0,,18.8,8.5,3.7,0.113,,,5.53,4.75
73,"A",18,1987,1,"3","F","A",18.2,115,27,169,"4",0,"1",7.1,,,,0.074,,4.97,4.47
74,"A",18,1987,1,"3","F","A",18.6,119,27,155,"4",1,"1",8,,,,0.225,2,5.17,4.57
75,"A",18,1987,1,"4","M","J",13.8,118,34,157,"1",0,,8.8,2.6,1.5,0.01,,,3.8,3.49
76,"A",18,1987,1,"4","F","A",13.8,122,39,152,"3",0,"1",5.7,,,,0.013,,3.92,3.57
77,"A",18,1987,1,"4","F","A",23.4,149,48,164,"3",0,"1",5.9,,,,0.06,,6.19,5.58
78,"A",18,1987,1,"4","F","A",14.3,125,42,164,"4",0,"1",4.9,,,,0.019,,3.93,3.62
79,"M",1,1986,10,"3","M","A",17.6,115,25,162,"1",0,,7.6,3.1,1.8,0.015,,,5.07,4.37
80,"M",1,1986,10,"3","M","A",19.8,119,26,162,"1",0,,8.1,8.6,4.2,0.084,,,5.45,5.21
81,"M",1,1986,10,"3","M","A",17.4,118,26,198,"1",0,,8.2,2.8,1.8,0.013,,,4.74,4.1
82,"M",1,1986,10,"4","M","A",26.5,133,31,157,"2",0,,16.9,8.6,4.4,0.242,,,6.78,6.14
83,"M",1,1986,10,"7","F","A",9,110,40,125,,0,,3,,,,,,,
84,"M",1,1986,10,"7","F","A",7.9,105,38,128,,0,,5.4,,,,,,,
85,"M",1,1986,10,"7","F","A",8.3,105,39,127,,0,,2.2,,,,,,,
86,"M",1,1986,10,"7","M","A",7.6,111,42,139,"1",0,,2.2,2.7,1.5,0.009,,,,
87,"M",1,1986,10,"7","F","A",8.2,110,43,128,,0,,2.9,,,,,,,
88,"M",1,1986,10,"7","M","A",9.5,117,44,134,"1",0,,2.3,3.2,1.2,0.008,,,,
89,"M",1,1986,10,"7","M","A",7.8,108,43,138,"1",0,,2.2,,,0.006,,,,
90,"M",1,1986,10,"8",,,3.3,93,42,116,,0,,,,,,,,,
91,"M",5,1987,1,"3","M","A",18.6,124,24,163,"1",0,,9.3,3.2,1.2,0.02,,,5.1,4.66
92,"M",5,1987,1,"3","F","A",17.7,122,28,144,"3",0,"1",7,,,,0.035,,5.02,4.48
93,"M",9,1987,1,"3","M","A",15.9,119,28,150,"1",0,,8,2.8,1.9,0.012,,,4.28,3.82
94,"M",9,1987,1,"3","M","A",17.2,112,22,159,"1",0,,9.3,3.3,2.5,0.025,,,4.98,4.47
95,"M",9,1987,1,"3","M","A",13.8,110,23,158,"1",0,,7.8,3.3,1.5,0.017,,,4.08,3.68
96,"M",9,1987,1,"3","M","A",17.1,114,25,160,"1",0,,9,3.4,1.6,0.017,,,4.6,4.07
97,"M",2,1987,1,"3","M","A",20.7,122,28,172,"1",0,,10.3,3.6,2.1,0.017,,,5.23,4.72
98,"M",2,1987,1,"3","F","A",19,122,23,166,"3",0,"1",5.9,,,,0.024,,5.41,4.95
99,"M",2,1987,1,"3","F","A",18.7,116,23,166,"3",0,"1",5.9,,,,0.024,,5.25,4.66
100,"M",2,1987,1,"3","F","A",20.1,115,23,167,"3",0,"1",5.1,,,,0.013,,5.46,4.87
101,"M",2,1987,1,"4","F","A",15.1,132,38,149,"3",0,"1",7.3,,,,,,4.48,4.01
102,"M",2,1987,1,"3","M","A",16.5,113,23,157,"1",0,,8.6,4.3,2.2,0.035,,,4.82,4.28
103,"M",6,1987,1,"3","M","A",20.3,135,30,163,"1",0,,12.6,7.3,4.5,0.125,,,5.78,5.14
104,"M",6,1987,1,"3","M","A",14.8,115,24,165,"1",0,,7.9,3.6,2.4,0.029,,,4.23,3.55
105,"M",8,1986,4,"3","F","A",17.1,111,24,153,"4",0,"1",6.3,,,,0.076,,4.83,4
106,"M",8,1986,4,"3","M","A",18.5,125,27,161,"1",0,,13.8,8,4.2,0.215,,,5.37,4.59
107,"M",8,1986,4,"3","M","A",18.3,108,24,154,"1",0,,12.5,4,3,0.042,,,4.89,4.61
108,"M",8,1986,4,"3","F","A",14.5,112,22,161,"3",0,"1",7.5,,,,0.014,,4.26,3.76
109,"M",8,1986,4,"3","M","A",21.1,121,25,153,"1",0,,13.6,9.1,4.7,0.262,,,5.78,5.1
110,"M",8,1986,4,"3","F","A",15.1,111,26,158,"3",0,"1",5,,,,0.035,,4.34,3.87
111,"M",8,1986,4,"3","M","A",20.3,118,25,151,"2",0,,13.9,8.8,5.9,0.302,,,5.62,5.11
112,"M",8,1986,4,"3","F","A",14.5,111,24,163,"4",0,"1",5.1,,,,0.068,,4.1,3.66
113,"M",8,1986,4,"4","M","A",15.8,127,39,151,"2",0,,11,10.5,6.5,0.413,,,4.38,3.94
114,"M",8,1986,4,"4","M","A",15.4,124,36,172,"1",0,,10.8,9.2,5,0.316,,,4.49,4.06
115,"M",8,1986,4,"4","M","A",17.1,130,39,160,"1",0,,12.8,9.2,5.5,0.324,,,5.47,4.23
116,"M",8,1986,4,"7","M","A",11.8,117,43,127,"1",0,,5.7,8.1,4.6,0.214,,,,
117,"M",8,1986,4,"7","M","A",10.6,118,45,133,"1",0,,5.6,7.9,4.8,0.213,,,,
118,"A",1,1987,1,"4","F","A",14.6,137,47,171,"3",0,"1",5.8,,,,0.035,,4.21,3.78
119,"A",1,1987,1,"4","F","A",16.2,135,40,167,"3",0,"1",6.7,,,,0.06,,4.53,4.02
120,"A",1,1987,1,"4","F",,11.9,122,38,163,"3",0,,4.4,,,,0.019,,3.48,3.02
121,"A",5,1987,1,"3","M","A",17.5,114,23,162,"1",0,,8.2,3.8,1.9,0.027,,,5.1,4.39
122,"A",2,1987,1,"3","F","A",17.9,121,29,159,"3",0,"1",7.7,,,,0.061,,5.53,4.49
123,"A",2,1987,1,"3","F","A",15.6,118,23,170,"3",0,"1",5.2,,,,0.012,,4.6,3.98
124,"A",9,1987,1,"3","M","A",19.5,120,25,166,"1",0,,9.8,2.5,1.3,0.013,,,5.82,5.11
125,"A",9,1987,1,"3","M","A",16.8,113,24,174,"1",0,,8.7,3.3,1.3,0.013,,,4.98,4.26
126,"A",9,1987,1,"3","M","A",22.8,139,34,187,"1",0,,10.7,4,2.2,0.027,,,6.41,5.73
127,"A",9,1987,1,"3","F","A",17.8,112,24,163,"3",0,"1",5.6,,,,0.027,,5.22,4.63
128,"M",1,1986,7,"3","M","A",35,135,30,163,"1",0,,14.7,8.8,5.5,0.184,,,9.44,8.28
129,"M",1,1986,7,"3","M","A",23.1,120,29,159,"2",0,,13.7,9.6,6.6,0.429,,,6.15,5.47
130,"M",1,1986,7,"3","F","A",27.7,136,31,163,"4",0,"2",6.7,,,,0.232,,6.9,6.19
131,"M",1,1986,7,"4","M","A",18.1,127,37,164,"2",0,,10.5,10,6.2,0.483,,,5.05,4.37
132,"M",1,1986,7,"4","F","A",23.5,150,45,158,"4",0,"2",8.2,,,,0.196,,6.42,5.7
133,"M",1,1986,7,"4","M","A",16.5,120,37,156,"2",0,,10.4,9.3,5.7,0.33,,,4.57,3.78
134,"M",1,1986,7,"4","M","A",18.8,125,39,169,"2",0,,11.7,9.4,6.9,0.388,,,5.41,4.45
135,"M",1,1986,7,"4","F","A",15.3,121,40,151,"4",1,"1",6.6,,,,0.109,4,3.91,3.6
136,"M",1,1986,7,"7","F","A",8.4,112,42,130,"3",0,,2.7,,,,,,,
137,"M",1,1986,7,"7","F","A",8.9,115,39,127,"4",0,,3.2,,,,,,,
138,"M",1,1986,7,"7","M","A",7.8,120,45,130,,0,,2.7,,,,,,,
139,"A",18,1986,7,"7","M","A",7.3,110,40,130,,0,,,,,,,,,
140,"A",18,1986,7,"1","F","A",18.9,168,78,207,"4",1,"2",8.1,,,,0.39,5,5.28,4.83
141,"A",7,1987,1,"3","M","A",19.6,117,28,166,"1",0,,9.2,2.5,1.5,0.014,,,5.52,4.9
142,"A",7,1987,1,"3","F","A",17,116,27,143,"3",0,,5.9,,,,,,4.93,4.41
143,"A",7,1987,1,"3","F","A",16,114,26,156,"3",0,,7.2,,,,,,4.66,4.2
144,"A",7,1987,1,"3","M","A",18,116,23,156,"1",0,,8.6,,,,,,5.18,4.44
145,"A",19,1986,7,"3","F","A",18.4,117,27,178,"3",0,,5.4,,,,0.026,,4.62,3.89
146,"A",19,1986,7,"3","F","A",25.6,133,30,159,"4",1,"2",7.7,,,,0.184,6,6.4,5.7
147,"A",19,1986,7,"3","F","A",35.9,147,34,165,"3",0,"2",9.7,,,,0.374,6,8.79,8.04
148,"A",19,1986,7,"3","F","A",17.3,107,25,161,"3",0,"1",5.4,,,,0.033,,5.12,4.03
149,"A",19,1986,7,"3","M",,18,123,30,172,"1",0,,8.2,3.7,2.2,0.032,,,4.88,4.19
150,"A",19,1986,7,"3","F",,16.9,109,24,172,"3",0,"1",5.8,,,,0.019,,4.89,4.04
151,"A",19,1986,7,"3","M","A",18,114,28,163,"1",0,,10.5,6.4,4.3,0.14,,,5.11,4.09
152,"A",19,1986,7,"3","F","A",17.5,108,25,154,"3",0,"1",6,,,,0.025,,4.69,3.98
153,"A",19,1986,7,"3","F","A",17.3,119,25,157,"3",0,"1",7.3,,,,,,4.57,3.96
154,"A",19,1986,7,"3","M","A",18.8,119,29,167,"1",0,,9.4,2.6,1.7,0.017,,,4.93,4.24
155,"A",19,1986,7,"3","M","A",18.1,115,24,158,"1",0,,8.8,4.8,2.7,0.057,,,5.39,3.84
156,"A",19,1986,7,"3","M",,8.6,91,19,148,"1",0,,5.4,3,2.3,0.029,,,2.17,1.89
157,"A",2,1986,7,"3","M","A",27,130,29,170,"2",0,,15.6,9.6,5.7,0.364,,,7.07,6.29
158,"A",2,1986,7,"3","M","A",18.1,119,29,160,"2",0,,13.8,8.5,4.7,0.283,,,5.17,4.56
159,"A",2,1986,7,"3","M","A",14,114,26,167,"1",0,,7.2,5.7,3.2,0.079,,,3.55,3.1
160,"A",5,1986,7,"1","M","A",16.9,157,70,210,"2",0,,17,11.2,7.1,0.57,,,5.09,3.98
161,"A",1,1986,7,"3","M","A",30.2,137,30,157,"2",0,,20.2,9.5,5.6,0.448,,,8.63,7.52
162,"A",1,1986,7,"4","M","A",15.7,125,40,162,"2",0,,12.5,9.4,5.6,0.318,,,4.19,3.88
163,"A",1,1986,7,"1","F","A",29.3,162,69,166,"4",1,"1",9,,,,10.04,9,6.6,5.59
164,"A",1,1986,7,"1","F","A",12.5,132,58,182,"4",0,"1",6.4,,,,0.113,,3.23,2.7
165,"A",1,1986,7,"7","M",,7.2,110,43,132,,0,,,,,,,,,
166,"A",3,1986,7,"4","F","A",19.7,136,42,171,"4",1,"1",8.1,,,,0.35,4,5.28,4.47
167,"A",3,1986,7,"3","M","A",31.4,140,29,160,"1",0,,14.5,9.8,4.2,0.385,,,8.33,7.45
168,"A",9,1986,7,"1","M","A",15.7,152,73,170,"2",0,,15.3,6.5,4.1,0.144,,,4.36,3.91
169,"A",2,1986,10,"1","M","A",16.2,168,81,220,"1",0,,16.2,8,3.1,0.089,,,3.89,4.24
170,"A",2,1986,10,"1","F","A",12.4,143,71,203,"3",0,"1",5.6,,,,0.031,,3.98,3.32
171,"A",2,1986,10,"1","M","A",15.3,158,66,209,,0,,13.1,4.8,2.7,0.035,,,4.53,3.84
172,"A",2,1986,10,"1","M","A",14.9,164,76,223,,0,,13.1,4.7,2.2,0.043,,,4.54,3.69
173,"A",9,1986,10,"3","M","A",21.2,123,28,163,,0,,12.2,3.2,2.2,0.031,,,5.9,5.34
174,"A",9,1986,10,"3","M","A",23.5,123,27,161,,0,,9.1,3.7,1.7,0.03,,,6.28,5.73
175,"A",9,1986,10,"3","M","A",19.5,119,25,172,,0,,7.7,2.7,1.5,0.026,,,5.15,4.59
176,"A",9,1986,10,"3","F","A",24.5,129,29,169,"3",0,"1",7.4,,,,0.04,,6.84,6.34
177,"A",1,1986,10,"4","F","A",19,143,43,162,"3",1,"1",5.8,,,,0.077,6,5.2,4.73
178,"A",1,1986,10,"4","F","A",11.9,115,37,152,"3",0,"1",5.4,,,,,,3.18,2.86
179,"A",1,1986,10,"4","M","A",13.9,123,39,164,"3",0,,7.9,3.1,1.1,0.026,,,4.03,3.6
180,"A",1,1986,10,"9","F","A",7.3,111,40,150,,0,,,,,,,,,
181,"A",1,1986,10,"1","M","A",15.8,155,80,215,"3",0,,14.5,4.3,2,0.041,,,4.64,4.04
182,"A",1,1986,10,"1","F","A",11.7,131,61,190,"3",0,"1",5.6,,,,0.038,,3.44,2.8
183,"A",1,1986,10,"1","F","A",20.9,177,84,212,"4",0,"1",5.5,,,,0.058,,6.1,5.05
184,"A",1,1986,10,"1","M","A",13.8,140,62,214,,0,,11.6,4.7,2.4,0.047,,,4.15,3.66
